Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4,PassOrFail
9.520000458,4.409999847,16.79000092,59.47999954,7.119999886,653.4400024,68.25,647.9899902,55.79999924,30.5,29.20000076,141.6999969,136,37.40000153,59.29999924,275.5,275.6000061,274.5,270,254.8999939,229.6999969,66.90000153,19.79999924,20.79999924,1
9.609999657,4.489999771,16.80999947,59.56000137,7.119999886,653.4500122,68.58000183,647.9899902,55.29999924,30.60000038,292.3999939,142.1999969,136.8999939,37.70000076,59.5,275.8999939,274.8999939,275.6000061,269.6000061,255.1999969,230,67.19999695,21.89999962,23.10000038,1
9.57421973,4.464219871,16.89577958,59.52000046,7.130000114,653.4099731,68.84577763,647.9899902,55.45780127,30.54219954,292.5,141.7421989,136.542202,37.54219873,59.34219959,276.3890092,275.2000122,275.1000061,271.3999939,254.9109938,230.1422016,67.85780279,25.05780084,27.61560168,0
9.57608283,4.462061713,16.92000008,59.52000046,7.135979359,653.4099731,68.83999634,647.9899902,55.59896892,30.8597934,292.5,141.7402055,136.4412358,37.26082334,59.18041091,276.1195952,275.360834,275.1195952,270.0402085,255.2608279,230.319583,66.97938212,24.96082411,27.58041243,0
9.576380678,4.464570835,16.89542852,59.52000046,7.130000114,653.4099731,68.83999634,647.9899902,55.47238783,30.61809713,292.5,141.7638103,136.5095227,37.49141868,59.32761454,275.9371371,275.1095288,274.9552294,271.2371249,255.1095135,230.1819019,67.74571246,25,27.51809675,0
9.539999962,4.429999828,16.92000008,59.47999954,7.119999886,653.4299927,68.48999786,647.9899902,55.70000076,30.60000038,29.20000076,141.8000031,136.3999939,37.40000153,59.20000076,275.8999939,274.7999878,274.2999878,269.7999878,255.5,230,68.90000153,22.79999924,24.20000076,1
9.575133923,4.465134021,16.91540231,59.54053737,7.130000114,653.4099731,68.84486327,647.9899902,55.5,30.70536422,292.5,141.6999969,136.4486558,37.5,59.29999924,276.6513503,274.9946353,275.1000061,271.3486497,254.905366,229.894637,67.43793082,25.15134168,27.70000076,0
9.623386202,4.503385952,16.55427523,59.38903879,7.112338671,653.4346745,68.41378731,647.9899902,54.60243859,30.57661434,90.72844464,142.1233899,136.9403167,38.37015692,59.97015921,277.183058,275.1766248,275.0870858,271.3596828,255.1701611,229.9363016,65.1129147,21.8258254,23.50889486,0
9.600000381,4.480000019,16.52000046,59.56000137,7.110000134,653.4299927,68.33999634,647.9899902,54.79999924,30.70000076,29.20000076,142.1000061,137,38.40000153,60,276.5,275.3999939,274.3999939,271.3999939,254.6000061,230.1000061,65,21.10000038,22.79999924,1
9.579999924,4.460000038,16.95288494,59.52000046,7.137115272,653.4099731,68.85423005,647.9899902,55.58653975,30.89999962,292.5,141.8000031,136.5865409,37.12884579,59.09999847,276.7826911,275.1269149,275.2730878,269.5288484,255.069229,229.9442364,67.59807514,25.02884677,27.70000076,0
9.57938794,4.459694031,16.95877511,59.52000046,7.130306106,653.4099731,68.83999634,647.9899902,55.79999924,30.89999962,292.5,141.7969429,136.7816429,37.19694069,59.09999847,276.0061204,274.7153122,275.6847122,269.6122459,254.5183602,230.3030628,67.09999847,25.09082036,27.69388075,0
9.609999657,4.489999771,16.57999992,59.52000046,7.110000134,653.4400024,68.34999847,647.9899902,54.79999924,30.79999924,29.20000076,142.1999969,136.8999939,38.40000153,60,276.1000061,275.7000122,275.6000061,270,254.8999939,230.1000061,65,21.10000038,22.79999924,1
9.600000381,4.489999771,16.63999939,59.52000046,7.110000134,653.4299927,68.36000061,647.9899902,55,30.70000076,29.20000076,142.1999969,136.6000061,38.20000076,59.90000153,276.7999878,275.2000122,274.7999878,269.5,254.8999939,230.1000061,66.5,20.89999962,22.20000076,1
9.979999542,4.869999886,16.53000069,60.45999908,7.119999886,653.4099731,68.61000061,647.9899902,49.40000153,30.70000076,292.5,142.8999939,139,50.59999847,67.40000153,276,275.2999878,275.1000061,271.6000061,255.1999969,229.6000061,65,20.70000076,22,0
9.609999657,4.489999771,16.88999939,59.58000183,7.119999886,653.4299927,68.58999634,647.9899902,55.29999924,30.60000038,292.5,142.1999969,137.1000061,38.20000076,59.70000076,276.1000061,275.3999939,275,271.6000061,255.1000061,229.6000061,67.90000153,23.39999962,24.70000076,1
9.609999657,4.489999771,16.89999962,59.56000137,7.119999886,653.4400024,68.58000183,647.9899902,55.40000153,30.70000076,292.5,142.1999969,136.8999939,38,59.5,276.2000122,275.7999878,275.6000061,270.8999939,254.8999939,230.1999969,68,23.29999924,24.5,1
9.442973123,4.329999924,16.92297362,59.43405154,7.130000114,653.4000244,68.85405239,647.9899902,60.82973467,30.75946993,292.5,141.3999939,136.9702634,36.44053027,58.77026494,276.2081469,275.1108025,274.8297244,270.8918592,254.7594655,229.8000031,67,25.10000038,27.62973525,0
9.539999962,4.429999828,16.97999954,59.52000046,7.130000114,653.4199829,68.48000336,647.9899902,56,31,292.5,141.8000031,136.1999969,38.59999847,59.79999924,277.2000122,275.5,275.2000122,271.7999878,255,230.1999969,67.59999847,21.79999924,22.89999962,1
9.529999733,4.409999847,16.81999969,59.52000046,7.119999886,653.4400024,68.25,647.9899902,55.79999924,30.39999962,29.20000076,141.8000031,136.3999939,37.59999847,59.40000153,275.7999878,274.8999939,274.2999878,269.6000061,255,230.1000061,67,20.10000038,21.10000038,1
9.510000229,4.389999866,16.77000046,59.45999908,7.119999886,653.4500122,68.26000214,647.9899902,56,30.60000038,29.20000076,141.6999969,135.6000061,37.29999924,59.29999924,275.8999939,274.8999939,275.1000061,271.6000061,254.8999939,230.1999969,66.90000153,21.5,22.60000038,1
9.569999695,4.449999809,16.57999992,59.52000046,7.110000134,653.4299927,68.33000183,647.9899902,55.29999924,30.70000076,29.20000076,142,136.1000061,38.09999847,59.79999924,275.7000122,275.2000122,275,271.2999878,255.5,230,65.5,21.60000038,23.39999962,1
9.600000381,4.480000019,16.62999916,59.52000046,7.110000134,653.4299927,68.33000183,647.9899902,55,30.79999924,29.20000076,142.1000061,137,38.20000076,59.79999924,275.7999878,274.8999939,274.6000061,269.3999939,255.3999939,230.5,65.09999847,22.29999924,24.20000076,1
9.520000458,4.409999847,16.72999954,59.52000046,7.119999886,653.4400024,68.26000214,647.9899902,55.70000076,30.60000038,29.20000076,141.8000031,136.1000061,37.90000153,59.59999847,276,275.5,275.3999939,271.7999878,254.8999939,230,67.19999695,19.70000076,20.70000076,1
9.569999695,4.460000038,16.91610677,59.52000046,7.130000114,653.4099731,68.84194337,647.9899902,55.5,30.66106839,292.4194612,141.6999969,136.5805388,37.25839894,59.21946657,276.036259,274.9583958,275.5026756,271.0778632,255.2637317,230.2610715,67.25572794,25.10000038,27.70000076,0
11.48999977,6.369999886,16.75,62.36000061,7.179999828,653.4299927,68.58999634,647.9899902,45.09999847,30.5,292.5,145.6999969,144.1999969,43.70000076,62.90000153,275.2000122,275.5,274.8999939,272.1000061,255.1999969,230.1000061,64.30000305,20.5,21.79999924,0
9.449999809,4.329999924,16.93000031,59.41999817,7.130000114,653.4000244,68.83999634,647.9899902,60.90000153,30.89999962,292.5,141.3999939,136.8999939,36.29999924,58.70000076,276.7000122,274.8999939,274.8999939,270.3999939,254.8999939,229.8000031,67,25.10000038,27.70000076,0
10.05689677,4.946387846,16.54120422,60.55675724,7.123055401,653.4109926,68.60898189,647.9899902,49.18102255,30.68981566,292.5,143.0425849,139.2648114,50.24861397,67.17083765,275.9592604,275.3101735,275.0898204,271.6254688,255.1999969,229.6254688,64.96435244,20.68981566,21.9898149,0
9.979999542,4.869999886,16.53000069,60.45999908,7.119999886,653.4099731,68.61000061,647.9899902,49.40000153,30.70000076,292.5,142.8999939,139,50.59999847,67.40000153,276,275.2999878,275.1000061,271.6000061,255.1999969,229.6000061,65,20.70000076,22,0
9.588753212,4.472502085,16.92000008,59.52000046,7.130000114,653.4099731,68.83999634,647.9899902,55.37497894,30.7625101,292.462508,141.7625111,136.7250248,37.38753117,59.2625101,275.962508,275.3375736,275.2249405,270.4374112,255.462508,230.2374889,66.91247045,25.16251091,27.70000076,0
